name,index,index_size,index_scans
public.artemis_content_items,artemis_content_items_kind_pub_idx,72 kB,1
public.satellites,satellites_object_type_owner_idx,1560 kB,22
public.launches_public_cache,launches_public_cache_pad_country_net_provider_idx,944 kB,26
public.launches,launches_updated_at_idx,136 kB,6
public.faa_launch_matches,faa_launch_matches_record_idx,64 kB,3
public.launch_social_candidates,launch_social_candidates_launch_platform_fetched_idx,40 kB,2
public.ll2_catalog_public_cache,ll2_catalog_public_cache_country_codes_gin,144 kB,8
public.launches,launches_net_idx,344 kB,21
public.faa_notam_details,faa_notam_details_notam_id_idx,16 kB,1
public.providers_public_cache,providers_public_cache_name_idx,16 kB,1
public.launches_public_cache,launches_public_cache_ll2_rocket_config_id_idx,192 kB,14
public.launches_public_cache,launches_public_cache_ll2_pad_id_idx,192 kB,14
public.artemis_procurement_awards,artemis_procurement_awards_scope_awarded_updated_idx,48 kB,4
public.trajectory_source_documents,trajectory_source_documents_url_idx,168 kB,18
public.ll2_catalog_public_cache,ll2_catalog_public_cache_type_idx,144 kB,21
public.launch_trajectory_constraints,launch_trajectory_constraints_launch_idx,40 kB,6
public.artemis_spending_timeseries,artemis_spending_timeseries_contract_idx,88 kB,14
public.blue_origin_traveler_sources,blue_origin_traveler_sources_slug_idx,56 kB,9
public.artemis_procurement_awards,artemis_procurement_awards_program_scope_awarded_idx,88 kB,15
public.faa_tfr_records,faa_tfr_records_status_idx,16 kB,3
public.artemis_contracts,artemis_contracts_piid_ref_idx,120 kB,28
public.artemis_timeline_events,artemis_timeline_events_announced_time_idx,16 kB,4
public.social_posts,social_posts_status_idx,16 kB,4
public.artemis_contract_actions,artemis_contract_actions_contract_idx,88 kB,28
public.ll2_spacecraft_flight_docking_events,ll2_spacecraft_flight_docking_events_docking_idx,40 kB,15
public.artemis_content_items,artemis_content_items_mission_kind_idx,88 kB,42
public.artemis_timeline_events,artemis_timeline_events_mission_time_idx,16 kB,18
public.faa_launch_matches,faa_launch_matches_launch_idx,16 kB,32
