
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.ar_camera_guide_sessions_pkey                                   | 16 kB      | 100%         | 133         | 0         | false  
   public.notification_preferences_pkey                                   | 16 kB      | 100%         | 20208       | 0         | false  
   public.ll2_docking_events_launch_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_notam_details_pkey                                          | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_types_pkey                                          | 16 kB      | 100%         | 390         | 0         | false  
   public.ll2_space_stations_name_idx                                     | 16 kB      | 0%           | 0           | 0         | true   
   public.stripe_customers_pkey                                           | 16 kB      | 100%         | 10          | 0         | false  
   public.ar_camera_guide_sessions_launch_created_at_idx                  | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_pkey                                               | 16 kB      | 100%         | 776         | 0         | false  
   public.ll2_payload_types_name_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_configs_agency_idx                               | 16 kB      | 100%         | 76710       | 0         | false  
   public.ar_camera_guide_sessions_launch_id_idx                          | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flights_pkey                                        | 16 kB      | 100%         | 57          | 0         | false  
   public.ll2_payload_flights_ll2_landing_id_idx                          | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_event_launches_pkey                                         | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_timeline_events_mission_time_idx                        | 16 kB      | 100%         | 270         | 0         | false  
   public.stripe_customers_stripe_customer_id_key                         | 16 kB      | 100%         | 3           | 0         | false  
   public.faa_tfr_shapes_bbox_idx                                         | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_status_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_budget_lines_fiscal_year_idx                            | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_shapes_record_source_uniq                               | 16 kB      | 100%         | 7619        | 0         | false  
   public.launch_weather_valid_start_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlist_rules_pkey                                            | 16 kB      | 100%         | 2           | 0         | false  
   public.nws_points_coord_key_key                                        | 16 kB      | 100%         | 8           | 0         | false  
   public.ll2_payload_flights_payload_idx                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.nws_points_ll2_pad_id_uidx                                      | 16 kB      | 100%         | 1220        | 0         | false  
   public.faa_launch_matches_record_null_launch_origin_uidx               | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_space_stations_pkey                                         | 16 kB      | 100%         | 2205        | 0         | false  
   public.ll2_payload_flights_launch_id_idx                               | 16 kB      | 0%           | 0           | 0         | true   
